Year,Month,Provinces,Region,Occupancy rate,Number of guests (people),Total number of visitors (people),Number of Thai visitors (people),Number of foreign visitors (people),Income from visitors (million baht),Income from Thai visitors (million baht),Income from foreign visitors (million baht)
2020,4,Pathum Thani,Central,0.24,163,163,163,0,0.12,0.12,0
2020,4,Phatthalung,Southern,0.24,154,154,154,0,0.22,0.22,0
2020,4,Phrae,Northern,1.37,328,328,328,0,0.36,0.36,0
2020,4,Ratchaburi,Central,2.33,1726,1726,1726,0,2.43,2.43,0
2020,4,Rayong,Eastern,0,0,0,0,0,0,0,0
2020,4,Sa Kaeo,Eastern,0,0,0,0,0,0,0,0
2020,4,Sakon Nakhon,Northeastern,0.06,70,70,70,0,0.05,0.05,0
2020,4,Samut Prakan,Central,0,0,0,0,0,0,0,0
2020,4,Samut Sakhon,Central,1.13,289,289,289,0,0.41,0.41,0
2020,4,Saraburi,Central,1.26,416,416,416,0,0.5,0.5,0
2020,4,Si Sa Ket,Northeastern,0.07,40,40,40,0,0.03,0.03,0
2020,4,Sing Buri,Central,0.64,81,81,81,0,0.07,0.07,0
2020,4,Suphan Buri,Central,0,0,0,0,0,0,0,0
2020,4,Surin,Northeastern,0,0,0,0,0,0,0,0
2020,4,Tak,Northern,2.94,2156,2156,2156,0,6.75,6.75,0
2020,4,Ubon Ratchathani,Northeastern,0.06,98,98,98,0,0.12,0.12,0
2020,4,Udon Thani,Northeastern,0,0,0,0,0,0,0,0
2020,4,Uthai Thani,Northern,0.26,0,0,0,0,0.08,0.08,0
2020,4,Yasothon,Northeastern,0,0,0,0,0,0,0,0
2020,5,Amnat Charoen,Northeastern,4.93,657,657,657,0,0.67,0.67,0
2020,5,Ang Thong,Central,2.18,520,520,520,0,0.54,0.54,0
2020,5,Ayutthaya,Central,1.61,1269,1269,1269,0,2.4,2.4,0
