Year,Month,Country,Region,Sub_Region,Number of Tourists
2020,May,Argentina,America,NULL,0
2020,May,Brazil,America,NULL,0
2020,May,Chile,America,NULL,0
2020,May,Colombia,America,NULL,0
2020,May,Korea (Republic of),Asia and the Pacific,North-East Asia,0
2020,May,Macao (China),Asia and the Pacific,North-East Asia,0
2020,May,Mongolia,Asia and the Pacific,North-East Asia,0
2020,May,Taiwan,Asia and the Pacific,North-East Asia,0
2020,May,Brunei,Asia and the Pacific,South-East Asia,0
2020,May,Cambodia,Asia and the Pacific,South-East Asia,0
2020,May,Indonesia,Asia and the Pacific,South-East Asia,0
2020,May,Laos,Asia and the Pacific,South-East Asia,0
2020,May,Malaysia,Asia and the Pacific,South-East Asia,0
2020,May,Myanmar,Asia and the Pacific,South-East Asia,0
2020,May,Philippines,Asia and the Pacific,South-East Asia,0
2020,May,Singapore,Asia and the Pacific,South-East Asia,0
2020,May,Vietnam,Asia and the Pacific,South-East Asia,0
2020,May,Bangladesh,Asia and the Pacific,South Asia,0
2020,May,Bhutan,Asia and the Pacific,South Asia,0
2020,May,India,Asia and the Pacific,South Asia,0
2020,May,Iran,Asia and the Pacific,South Asia,0
2020,May,Maldives,Asia and the Pacific,South Asia,0
2020,May,Nepal,Asia and the Pacific,South Asia,0
2020,May,Pakistan,Asia and the Pacific,South Asia,0
2020,May,Sri Lanka,Asia and the Pacific,South Asia,0
2020,May,Australia,Asia and the Pacific,Oceania,0
2020,May,New Zealand,Asia and the Pacific,Oceania,0
2020,May,Other in Oceania,Asia and the Pacific,Oceania,0
2020,May,Denmark,Europe,Northern Europe,0
2020,May,Finland,Europe,Northern Europe,0
2020,May,Iceland,Europe,Northern Europe,0
2020,May,Ireland,Europe,Northern Europe,0
2020,May,Norway,Europe,Northern Europe,0
2020,May,Sweden,Europe,Northern Europe,0
2020,May,United Kingdom,Europe,Northern Europe,0
2020,May,Austria,Europe,Western Europe,0
2020,May,Belgium,Europe,Western Europe,0
2020,May,France,Europe,Western Europe,0
2020,May,Germany,Europe,Western Europe,0
2020,May,Luxembourg,Europe,Western Europe,0
2020,May,Netherlands,Europe,Western Europe,0
2020,May,Switzerland,Europe,Western Europe,0
2020,May,Croatia,Europe,Southern/Medit. Europe,0
2020,May,Cyprus,Europe,Southern/Medit. Europe,0
2020,May,Romania,Europe,Central/Eastern Europe,0
2020,May,Russian Federation,Europe,Central/Eastern Europe,0
2020,May,Slovakia,Europe,Central/Eastern Europe,0
2020,May,Ukraine,Europe,Central/Eastern Europe,0
